FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2021,2023
A,Annual,FIN,Finland,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,25.61728395,26.54320988
A,Annual,FJI,Fiji,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,11.11111111,11.11111111
A,Annual,FRA,France,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,25.15432099,27.00617284
A,Annual,FSM,"Micronesia, Fed. Sts.",ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,5.864197531,5.864197531
A,Annual,GAB,Gabon,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,6.944444444,8.796296296
A,Annual,GBR,United Kingdom,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,22.22222222,22.22222222
A,Annual,GEO,Georgia,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,7.407407407,12.03703704
A,Annual,GHA,Ghana,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,15.74074074,19.44444444
A,Annual,GIN,Guinea,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,7.407407407,7.87037037
A,Annual,GMB,"Gambia, The",ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,6.944444444,8.333333333
A,Annual,GNB,Guinea-Bissau,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,2.777777778,2.777777778
A,Annual,GNQ,Equatorial Guinea,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,4.62962963,5.555555556
A,Annual,GRC,Greece,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,17.59259259,20.0617284
A,Annual,GRD,Grenada,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,7.716049383,7.716049383
A,Annual,GTM,Guatemala,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,11.11111111,14.35185185
A,Annual,GUY,Guyana,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,4.62962963,5.555555556
A,Annual,HKG,"Hong Kong SAR, China",ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,10.49382716,10.49382716
A,Annual,HND,Honduras,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,12.03703704,13.42592593
A,Annual,HRV,Croatia,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,21.60493827,21.60493827
A,Annual,HTI,Haiti,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,5.555555556,6.481481481
A,Annual,HUN,Hungary,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,20.37037037,21.75925926
A,Annual,IDN,Indonesia,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,17.74691358,22.68518519
